,skeleton_id,node_id_src,node_id_dst,branch_distance,branch_type,mean_pixel_value,stdev_pixel_value,image_coord_src_0,image_coord_src_1,image_coord_src_2,image_coord_dst_0,image_coord_dst_1,image_coord_dst_2,coord_src_0,coord_src_1,coord_src_2,coord_dst_0,coord_dst_1,coord_dst_2,euclidean_distance,path_id,random_path_id,MANUAL_CLUSTER_ID
94,122,347,408,2.8284271247461903,0,1.0,0.0,13,1,31,15,1,31,13,1,31,15,1,31,2.0,94,198,0
95,105,359,359,8.292528739883945,3,1.0,0.0,13,12,9,13,12,9,13,12,9,13,12,9,0.0,95,29,0
96,127,360,411,4.242640687119286,0,1.0,0.0,13,13,1,15,14,4,13,13,1,15,14,4,3.7416573867739413,96,55,0
97,107,363,419,5.5604779323150675,1,1.0,0.0,13,16,18,15,16,22,13,16,18,15,16,22,4.47213595499958,97,100,0
98,107,363,392,1.7320508075688772,2,1.0,0.0,13,16,18,14,15,17,13,16,18,14,15,17,1.7320508075688772,98,58,0
99,107,363,392,4.5604779323150675,2,1.0,0.0,13,16,18,14,15,17,13,16,18,14,15,17,1.7320508075688772,99,133,0
100,129,371,373,1.4142135623730951,0,1.0,0.0,13,26,14,13,27,15,13,26,14,13,27,15,1.4142135623730951,100,121,0
101,131,374,404,1.0,0,1.0,0.0,13,27,27,14,27,27,13,27,27,14,27,27,1.0,101,187,0
102,132,378,379,1.0,0,1.0,0.0,14,3,4,14,3,5,14,3,4,14,3,5,1.0,102,134,0
103,134,386,387,1.0,0,1.0,0.0,14,11,3,14,11,4,14,11,3,14,11,4,1.0,103,151,0
104,107,392,467,5.974691494688162,1,1.0,0.0,14,15,17,17,11,15,14,15,17,17,11,15,5.385164807134504,104,50,0
105,136,394,413,1.0,0,1.0,0.0,14,15,26,15,15,26,14,15,26,15,15,26,1.0,105,42,0
106,138,399,420,1.0,0,1.0,0.0,14,19,27,15,19,27,14,19,27,15,19,27,1.0,106,201,0
107,143,407,409,8.071067811865476,0,1.0,0.0,15,0,3,15,2,0,15,0,3,15,2,0,3.605551275463989,107,43,0
108,144,410,472,2.0,0,1.0,0.0,15,13,22,17,13,22,15,13,22,17,13,22,2.0,108,232,0
109,137,414,441,7.560477932315067,0,1.0,0.0,15,16,6,16,17,12,15,16,6,16,17,12,6.164414002968976,109,189,0
110,145,421,503,4.464101615137754,1,1.0,0.0,15,20,3,18,18,3,15,20,3,18,18,3,3.605551275463989,110,210,0
111,147,424,425,1.0,0,1.0,0.0,15,24,0,15,25,0,15,24,0,15,25,0,1.0,111,167,0
112,149,427,450,1.7320508075688772,1,1.0,0.0,15,28,12,16,29,13,15,28,12,16,29,13,1.7320508075688772,112,112,0
113,146,443,443,6.292528739883944,3,1.0,0.0,16,20,19,16,20,19,16,20,19,16,20,19,0.0,113,1,0
114,146,443,501,4.5604779323150675,1,1.0,0.0,16,20,19,18,17,17,16,20,19,18,17,17,4.123105625617661,114,67,0
115,152,447,483,2.414213562373095,0,1.0,0.0,16,23,30,17,23,28,16,23,30,17,23,28,2.23606797749979,115,74,0
116,149,450,451,1.0,1,1.0,0.0,16,29,13,16,29,14,16,29,13,16,29,14,1.0,116,89,0
117,149,450,452,1.4142135623730951,1,1.0,0.0,16,29,13,16,30,12,16,29,13,16,30,12,1.4142135623730951,117,181,0
118,155,453,511,7.610365985079726,1,1.0,0.0,16,30,18,18,29,23,16,30,18,18,29,23,5.477225575051661,118,57,0
119,150,457,514,12.024579547452822,0,1.0,0.0,17,2,25,19,2,16,17,2,25,19,2,16,9.219544457292887,119,77,0
120,156,460,492,7.560477932315067,1,1.0,0.0,17,5,30,18,10,30,17,5,30,18,10,30,5.0990195135927845,120,99,0
121,159,471,576,5.974691494688162,0,1.0,0.0,17,13,5,21,10,3,17,13,5,21,10,3,5.385164807134504,121,196,0
122,156,475,492,5.146264369941973,1,1.0,0.0,17,14,30,18,10,30,17,14,30,18,10,30,4.123105625617661,122,38,0
123,156,492,521,1.0,2,1.0,0.0,18,10,30,19,10,30,18,10,30,19,10,30,1.0,123,46,0
124,168,498,552,2.414213562373095,1,1.0,0.0,18,15,13,20,15,14,18,15,13,20,15,14,2.23606797749979,124,155,0
125,145,499,502,2.0,1,1.0,0.0,18,16,2,18,18,2,18,16,2,18,18,2,2.0,125,140,0
126,145,502,503,1.0,2,1.0,0.0,18,18,2,18,18,3,18,18,2,18,18,3,1.0,126,126,0
127,145,502,528,1.7320508075688772,2,1.0,0.0,18,18,2,19,19,1,18,18,2,19,19,1,1.7320508075688772,127,184,0
128,145,503,556,4.242640687119286,2,1.0,0.0,18,18,3,20,19,2,18,18,3,20,19,2,2.449489742783178,128,218,0
129,145,504,528,1.4142135623730951,1,1.0,0.0,18,19,0,19,19,1,18,19,0,19,19,1,1.4142135623730951,129,212,0
130,170,506,590,4.878315177510849,0,1.0,0.0,18,24,3,21,24,4,18,24,3,21,24,4,3.1622776601683795,130,225,0
131,171,507,594,3.82842712474619,0,1.0,0.0,18,24,26,21,26,26,18,24,26,21,26,26,3.605551275463989,131,169,0
132,155,510,511,1.0,1,1.0,0.0,18,28,23,18,29,23,18,28,23,18,29,23,1.0,132,204,0
133,155,511,707,16.902894724963673,2,1.0,0.0,18,29,23,25,26,18,18,29,23,25,26,18,9.1104335791443,133,202,0
134,174,515,635,8.292528739883945,0,1.0,0.0,19,3,9,23,9,9,19,3,9,23,9,9,7.211102550927978,134,233,0
135,175,518,570,3.82842712474619,1,1.0,0.0,19,6,0,21,3,0,19,6,0,21,3,0,3.605551275463989,135,230,0
136,176,519,520,1.0,0,1.0,0.0,19,8,22,19,8,23,19,8,22,19,8,23,1.0,136,194,0
137,156,521,547,1.4142135623730951,1,1.0,0.0,19,10,30,20,9,30,19,10,30,20,9,30,1.4142135623730951,137,52,0
138,156,521,551,1.7320508075688772,1,1.0,0.0,19,10,30,20,11,29,19,10,30,20,11,29,1.7320508075688772,138,25,0
139,177,522,550,1.0,0,1.0,0.0,19,11,16,20,11,16,19,11,16,20,11,16,1.0,139,222,0
140,145,528,556,1.4142135623730951,2,1.0,0.0,19,19,1,20,19,2,19,19,1,20,19,2,1.4142135623730951,140,211,0
141,184,535,566,3.8284271247461903,0,1.0,0.0,19,30,3,20,31,0,19,30,3,20,31,0,3.3166247903554,141,75,0
142,186,540,663,5.242640687119285,1,1.0,0.0,20,3,4,24,3,3,20,3,4,24,3,3,4.123105625617661,142,173,0
143,191,548,637,9.071067811865476,1,1.0,0.0,20,10,19,23,13,23,20,10,19,23,13,23,5.830951894845301,143,144,0
144,168,552,645,6.5604779323150675,1,1.0,0.0,20,15,14,23,18,17,20,15,14,23,18,17,5.196152422706632,144,8,0
145,168,552,578,2.414213562373095,2,1.0,0.0,20,15,14,21,13,14,20,15,14,21,13,14,2.23606797749979,145,158,0
146,168,552,581,1.4142135623730951,1,1.0,0.0,20,15,14,21,15,13,20,15,14,21,15,13,1.4142135623730951,146,176,0
147,191,554,637,5.5604779323150675,1,1.0,0.0,20,15,20,23,13,23,20,15,20,23,13,23,4.69041575982343,147,35,0
148,145,556,646,3.414213562373095,2,1.0,0.0,20,19,2,23,19,1,20,19,2,23,19,1,3.1622776601683795,148,185,0
149,192,558,621,3.414213562373095,0,1.0,0.0,20,21,8,22,21,6,20,21,8,22,21,6,2.8284271247461903,149,56,0
150,155,561,678,4.414213562373095,1,1.0,0.0,20,25,19,24,24,19,20,25,19,24,24,19,4.123105625617661,150,130,0
151,194,563,564,1.0,0,1.0,0.0,20,27,0,20,28,0,20,27,0,20,28,0,1.0,151,172,0
152,175,570,570,5.656854249492381,3,1.0,0.0,21,3,0,21,3,0,21,3,0,21,3,0,0.0,152,88,0
153,195,574,575,1.0,0,1.0,0.0,21,7,19,21,7,20,21,7,19,21,7,20,1.0,153,208,0
154,168,578,636,4.878315177510849,2,1.0,0.0,21,13,14,23,12,13,21,13,14,23,12,13,2.449489742783178,154,131,0
155,168,578,612,1.4142135623730951,2,1.0,0.0,21,13,14,22,13,13,21,13,14,22,13,13,1.4142135623730951,155,235,0
156,203,598,688,4.5604779323150675,1,1.0,0.0,22,0,13,25,1,12,22,0,13,25,1,12,3.3166247903554,156,207,0
157,204,603,718,7.560477932315067,1,1.0,0.0,22,4,17,26,5,22,22,4,17,26,5,22,6.48074069840786,157,95,0
158,168,612,617,2.8284271247461903,2,1.0,0.0,22,13,13,22,15,11,22,13,13,22,15,11,2.8284271247461903,158,175,0
159,168,612,636,1.4142135623730951,2,1.0,0.0,22,13,13,23,12,13,22,13,13,23,12,13,1.4142135623730951,159,44,0
160,145,613,646,6.878315177510849,1,1.0,0.0,22,14,1,23,19,1,22,14,1,23,19,1,5.0990195135927845,160,156,0
161,168,617,642,4.5604779323150675,2,1.0,0.0,22,15,11,23,16,10,22,15,11,23,16,10,1.7320508075688772,161,148,0
162,168,617,642,1.7320508075688772,2,1.0,0.0,22,15,11,23,16,10,22,15,11,23,16,10,1.7320508075688772,162,91,0
163,207,624,652,1.0,0,1.0,0.0,22,29,16,23,29,16,22,29,16,23,29,16,1.0,163,39,0
164,204,628,687,8.292528739883945,1,1.0,0.0,23,2,21,25,0,27,23,2,21,25,0,27,6.6332495807108,164,142,0
