index,shape-type,vertex-index,axis-0,axis-1,axis-2
157,path,5,26.0,5.0,21.0
157,path,6,26.0,5.0,22.0
158,path,0,22.0,13.0,13.0
158,path,1,22.0,14.0,12.0
158,path,2,22.0,15.0,11.0
159,path,0,22.0,13.0,13.0
159,path,1,23.0,12.0,13.0
160,path,0,22.0,14.0,1.0
160,path,1,23.0,15.0,2.0
160,path,2,24.0,16.0,1.0
160,path,3,23.0,17.0,1.0
160,path,4,23.0,18.0,1.0
160,path,5,23.0,19.0,1.0
161,path,0,22.0,15.0,11.0
161,path,1,22.0,14.0,10.0
161,path,2,23.0,15.0,9.0
161,path,3,23.0,16.0,10.0
162,path,0,22.0,15.0,11.0
162,path,1,23.0,16.0,10.0
163,path,0,22.0,29.0,16.0
163,path,1,23.0,29.0,16.0
164,path,0,23.0,2.0,21.0
164,path,1,22.0,2.0,22.0
164,path,2,22.0,2.0,23.0
164,path,3,23.0,1.0,24.0
164,path,4,24.0,0.0,25.0
164,path,5,24.0,0.0,26.0
164,path,6,25.0,0.0,27.0
165,path,0,23.0,3.0,30.0
165,path,1,24.0,2.0,29.0
166,path,0,23.0,8.0,25.0
166,path,1,23.0,7.0,25.0
166,path,2,24.0,6.0,24.0
166,path,3,24.0,6.0,23.0
166,path,4,25.0,5.0,22.0
166,path,5,26.0,5.0,22.0
167,path,0,23.0,12.0,13.0
167,path,1,24.0,13.0,13.0
167,path,2,25.0,12.0,14.0
168,path,0,23.0,13.0,23.0
168,path,1,24.0,14.0,24.0
169,path,0,23.0,16.0,10.0
169,path,1,24.0,17.0,10.0
169,path,2,25.0,17.0,10.0
170,path,0,23.0,19.0,1.0
170,path,1,24.0,20.0,0.0
171,path,0,23.0,29.0,0.0
171,path,1,23.0,30.0,0.0
172,path,0,23.0,29.0,30.0
172,path,1,24.0,30.0,31.0
172,path,2,25.0,30.0,31.0
173,path,0,24.0,2.0,29.0
173,path,1,25.0,1.0,28.0
173,path,2,25.0,0.0,27.0
174,path,0,24.0,2.0,29.0
174,path,1,25.0,3.0,30.0
174,path,2,26.0,4.0,30.0
174,path,3,27.0,4.0,30.0
174,path,4,28.0,4.0,30.0
174,path,5,29.0,3.0,30.0
174,path,6,30.0,3.0,29.0
174,path,7,30.0,3.0,28.0
174,path,8,30.0,3.0,27.0
175,path,0,24.0,3.0,2.0
175,path,1,24.0,3.0,3.0
176,path,0,24.0,3.0,3.0
176,path,1,25.0,2.0,4.0
176,path,2,26.0,3.0,5.0
176,path,3,27.0,4.0,6.0
176,path,4,28.0,4.0,6.0
177,path,0,24.0,14.0,31.0
177,path,1,24.0,15.0,31.0
178,path,0,24.0,21.0,10.0
178,path,1,25.0,22.0,11.0
178,path,2,24.0,23.0,12.0
178,path,3,25.0,24.0,13.0
179,path,0,24.0,24.0,19.0
179,path,1,24.0,25.0,19.0
179,path,2,25.0,26.0,18.0
180,path,0,24.0,24.0,19.0
180,path,1,25.0,23.0,18.0
180,path,2,26.0,22.0,18.0
180,path,3,27.0,23.0,18.0
180,path,4,28.0,23.0,18.0
181,path,0,24.0,29.0,13.0
181,path,1,25.0,30.0,14.0
181,path,2,26.0,31.0,14.0
181,path,3,27.0,30.0,14.0
181,path,4,28.0,30.0,14.0
181,path,5,29.0,30.0,14.0
182,path,0,25.0,0.0,27.0
182,path,1,26.0,0.0,28.0
182,path,2,27.0,0.0,27.0
183,path,0,25.0,1.0,12.0
183,path,1,25.0,2.0,12.0
183,path,2,25.0,3.0,12.0
184,path,0,25.0,1.0,12.0
184,path,1,26.0,1.0,11.0
184,path,2,27.0,1.0,11.0
184,path,3,28.0,1.0,12.0
184,path,4,29.0,1.0,13.0
184,path,5,30.0,1.0,14.0
184,path,6,31.0,2.0,15.0
184,path,7,31.0,2.0,16.0
184,path,8,31.0,1.0,17.0
184,path,9,30.0,1.0,18.0
184,path,10,29.0,2.0,19.0
184,path,11,28.0,2.0,19.0
185,path,0,25.0,20.0,22.0
185,path,1,26.0,21.0,23.0
186,path,0,25.0,26.0,18.0
186,path,1,26.0,27.0,18.0
186,path,2,27.0,27.0,17.0
186,path,3,28.0,26.0,18.0
186,path,4,29.0,25.0,18.0
187,path,0,26.0,2.0,24.0
187,path,1,26.0,3.0,24.0
187,path,2,26.0,4.0,24.0
188,path,0,26.0,4.0,24.0
188,path,1,26.0,5.0,25.0
188,path,2,27.0,5.0,26.0
188,path,3,28.0,4.0,26.0
188,path,4,29.0,4.0,26.0
188,path,5,30.0,3.0,27.0
189,path,0,26.0,4.0,24.0
189,path,1,27.0,5.0,23.0
189,path,2,26.0,5.0,22.0
190,path,0,26.0,18.0,8.0
190,path,1,25.0,19.0,7.0
190,path,2,26.0,20.0,6.0
190,path,3,27.0,21.0,5.0
191,path,0,27.0,12.0,5.0
191,path,1,27.0,13.0,5.0
191,path,2,27.0,14.0,6.0
192,path,0,27.0,12.0,22.0
192,path,1,27.0,12.0,21.0
192,path,2,28.0,12.0,20.0
193,path,0,27.0,21.0,5.0
193,path,1,27.0,22.0,4.0
193,path,2,28.0,23.0,3.0
193,path,3,28.0,24.0,3.0
193,path,4,29.0,25.0,2.0
193,path,5,30.0,26.0,1.0
193,path,6,31.0,27.0,2.0
193,path,7,30.0,27.0,3.0
193,path,8,29.0,28.0,4.0
