label,original_label,min_intensity,max_intensity,sum_intensity,area,mean_intensity,centroid_x,centroid_y,centroid_z,sum_distance_to_centroid,mean_distance_to_centroid,sum_distance_to_mass_center,mean_distance_to_mass_center,standard_deviation_intensity,max_distance_to_centroid,max_distance_to_mass_center,mean_max_distance_to_centroid_ratio,mean_max_distance_to_mass_center_ratio,avg_distance_of_2_nearest_neigbors,avg_distance_of_3_nearest_neigbors,avg_distance_of_4_nearest_neigbors,touching_neighbor_count
289,289,19,96,5133,90,57.033333,480.35556,465.8889,0,331.7476,3.6860845,331.95743,3.688416,15.609435,6.2596536,6.4115176,1.6981851,1.7382848,14.58424,17.532629,19.538874,0
290,290,19,91,5611,96,58.447918,481.6875,100.35417,0,361.7369,3.7680929,361.8588,3.7693624,18.967005,6.3912563,6.449958,1.6961515,1.7111535,22.8215,24.948843,26.975254,0
291,291,24,85,7679,133,57.73684,484.49622,209.47368,0,579.82135,4.359559,579.834,4.359654,15.875404,6.9382715,6.903363,1.5915077,1.5834658,25.72614,27.554138,28.931992,0
292,292,23,82,5114,90,56.822224,485.34445,287.1,0,321.26736,3.5696375,321.2679,3.5696435,15.720177,5.3453703,5.3685617,1.4974546,1.503949,18.23286,19.58279,20.301369,0
293,293,31,66,5147,98,52.52041,484.97958,375.13266,0,365.21613,3.726695,365.23404,3.726878,8.261331,5.765642,5.786855,1.5471194,1.5527353,17.97341,19.318085,20.220926,0
294,294,22,85,5483,101,54.28713,485.66336,430.58414,0,388.22354,3.8437974,388.25388,3.8440976,12.994542,6.6137567,6.683997,1.7206309,1.7387688,15.397271,17.254513,18.573177,0
295,295,17,101,7595,115,66.04347,486.50433,507.00867,0,476.5078,4.143546,477.34857,4.150857,24.042858,7.6239376,7.565929,1.8399549,1.822739,24.523102,24.770164,25.482784,0
296,296,19,157,5775,91,63.461536,488.81317,72.72527,0,331.22983,3.639888,331.29205,3.6405718,35.52999,6.3132987,6.391251,1.7344761,1.7555624,16.343239,19.776329,21.965492,1
297,297,20,96,9777,157,62.273888,489.0637,340.05096,0,742.0129,4.726197,742.1145,4.726844,21.251188,7.32765,7.3327594,1.5504327,1.5513014,19.429623,20.31355,20.806265,0
298,298,30,65,5513,109,50.57798,489.2844,178.63303,0,429.99594,3.9449167,429.99744,3.9449306,6.8927474,6.2658854,6.2708263,1.5883441,1.589591,26.44588,28.033966,29.857355,0
299,299,18,81,5346,97,55.1134,491.06183,358.7835,0,359.69876,3.7082345,360.19064,3.7133055,17.919565,5.7766795,5.9962864,1.5577978,1.614811,14.6399145,15.942383,16.666489,1
300,300,20,97,15061,255,59.06274,492.45486,27.10588,0,1615.4318,6.3350263,1615.5492,6.335487,18.79935,11.156539,11.12276,1.761088,1.7556282,17.666172,19.96557,21.31255,0
301,301,16,82,5169,89,58.078648,492.4494,468.49435,0,322.57492,3.624437,322.6247,3.6249964,18.311428,6.0575147,6.0927806,1.671298,1.6807687,15.032597,16.355612,17.706024,0
302,302,25,72,6239,125,49.912003,495.816,11.304001,0,526.1714,4.209371,526.3207,4.2105656,9.781629,6.4123435,6.508137,1.5233495,1.5456681,16.344788,17.152882,18.249624,0
303,303,26,75,7913,147,53.82993,495.89795,52.224487,0,676.0278,4.5988283,676.0557,4.5990186,11.621804,7.4354,7.4496875,1.6168032,1.6198429,21.272968,22.63314,26.885666,0
304,304,21,92,5171,89,58.10112,496.68536,306.48312,0,316.3,3.5539322,316.37723,3.5548,18.716118,5.5176997,5.6118593,1.5525619,1.5786709,13.962409,16.380573,17.899706,0
305,305,37,63,4713,98,48.091835,498.56122,97.52041,0,366.39246,3.7386985,366.41904,3.7389698,5.7090807,5.7226753,5.7628417,1.5306598,1.5412914,18.662176,20.722069,22.202177,0
