Spot center intensity Center ch1,Aspect ratio between short and middle semi-axes,Aspect ratio between short and long semi-axes,Aspect ratio between middle and long semi-axes,Short semi-axis,Middle semi-axis,Long semi-axis,Volume,Spot intensity Mean ch1,Spot intensity Std ch1,Spot intensity Min ch1,Spot intensity Max ch1,Spot intensity Median ch1,Spot intensity Sum ch1,Spot quick mean Mean ch1,Spot radius
1157.6099255441288,0.5411559208729099,0.41031580361230185,0.7582210372020752,4.242859826378309,7.84036478716592,10.340473822907615,1440.867356414866,969.4455696202532,298.1165989132119,355.0,1847.0,933.0,382931.0,969.4455696202532,7.0066721632634135
1191.4106784916667,0.8640329596534472,0.402649281261087,0.46601148343066057,4.24285107866846,4.910519941704787,10.53733677452487,919.6122278013477,1059.7306273062732,222.76908269919787,522.0,1695.0,1077.0,287187.0,1059.7306273062732,6.032611754742426
911.8731697785179,0.9379365538103832,0.39056804568505255,0.4164120100643942,4.242849705956335,4.523599905259781,10.8632791464402,873.3561506415246,795.4753363228699,172.23995432663247,351.0,1220.0,801.0,177391.0,795.4753363228699,5.929720974574465
1125.081359027474,0.9126504126075997,0.40998477322063304,0.44922433338876794,4.246182131798362,4.652583369426511,10.35692642544381,857.0620844932752,981.136186770428,200.2549374533996,406.0,1586.0,988.0,252152.0,981.136186770428,5.89261261494371
1177.9229153073895,0.7177865229895097,0.42557041364456827,0.5928927334440742,4.378956738454502,6.100639393752589,10.289617412435438,1151.4202043419923,1038.5389048991356,210.13272866320628,534.0,1563.0,1039.0,360373.0,1038.5389048991356,6.502021664206228
1315.0084128378296,0.7331409074478219,0.5352267607304361,0.7300462370782775,4.550901146539396,6.20740310669854,8.50275337565087,1006.1333460663519,1102.9516129032259,354.7430734158861,325.0,2157.0,1055.0,341915.0,1102.9516129032259,6.216161815236586
1241.4271112672857,0.6968505266275256,0.4089704906373367,0.5868840949530286,4.242853098849196,6.088612890030933,10.374472476576889,1122.6153863673271,1101.7302052785924,239.29008471681658,521.0,1781.0,1118.0,375690.0,1101.7302052785924,6.447343271353976
1264.1921271447181,0.7465271004185015,0.482554320622092,0.6463989322712774,4.242857442011988,5.683460707097507,8.79249705306181,888.1210065800237,1050.014440433213,264.4602785318678,473.0,1774.0,1033.0,290854.0,1050.014440433213,5.962950136917825
861.5398391293955,0.7618860108913781,0.4104807409309829,0.5387692319625818,4.242853281139772,5.568881985608048,10.336302920124464,1023.0099701116379,735.7811320754716,192.75867415199448,298.0,1288.0,761.0,194982.0,735.7811320754716,6.250725380242328
1211.4685147401683,0.7894402286310628,0.33333319269069006,0.42223993736512516,4.416515719826705,5.594490323206877,13.249552749836479,1371.2926094427423,1079.1246882793018,227.22828700222405,492.0,1832.0,1094.0,432729.0,1079.1246882793018,6.892030256497298
1206.94187256033,0.7332358437459481,0.3812616607232123,0.5199713897992582,4.489066813918182,6.1222686427664,11.7742413580293,1355.4702656752534,1045.4786967418547,288.9256984388855,352.0,1915.0,998.0,417146.0,1045.4786967418547,6.865420280568344
1127.5321656561102,0.8886161241471153,0.3892847241308132,0.4380797439439271,4.8592693781931535,5.468356072040703,12.482558592667175,1389.3766114585253,999.7178841309824,214.4603657846399,415.0,1643.0,993.0,396888.0,999.7178841309824,6.922194396996643
1083.534617280114,0.6286217501636463,0.33642562001387794,0.5351797323689449,4.242862805639368,6.749468666228687,12.611592438959748,1512.8194908389864,948.8898876404494,183.72995756658682,501.0,1423.0,966.0,422256.0,948.8898876404494,7.121412906325638
1164.801986683051,0.6351786079478305,0.33868928657316455,0.5332189754743477,4.242843605407444,6.679764639926167,12.527244804039274,1487.1759643126663,1030.76376146789,206.19328432284567,555.0,1713.0,1041.0,449413.0,1030.76376146789,7.080945462965886
1217.5579099178235,0.6878133334374023,0.33973244838434197,0.49393117560908834,4.242859011491348,6.1686198932598755,12.488824755094832,1369.1681615021441,1057.1259640102828,216.52258059289562,522.0,1741.0,1061.0,411222.0,1057.1259640102828,6.888469303118804
779.075333779203,1.0,0.4033863383321789,0.4033863383321789,4.242854790368338,4.242854790368338,10.51809242700344,793.1255290602523,635.6385542168674,197.27937908878008,340.0,1168.0,601.0,105516.0,635.6385542168674,5.7422809861487405
1275.108068080553,0.674186355267997,0.43637166054149656,0.6472567371495286,4.242865440241221,6.293312534565659,9.723054505822446,1087.5015589688376,1117.9126506024097,323.0515960907169,438.0,2090.0,1093.0,371147.0,1117.9126506024097,6.3794086994953645
1192.2632081700017,0.8691439380498049,0.421918500801005,0.4854414583477514,4.651834306084195,5.352202440164323,11.025433341398323,1149.8496201256753,999.141592920354,304.371674087462,348.0,1812.0,922.0,338709.0,999.141592920354,6.4990639779025665
