label,Branch N leaves,Branch N spots,Branch N sub branch spots,Branch N successors,Branch Sinuosity,Branch depth,Branch duration and displacement,Branch duration and displacement
124,1,1,0,0,NaN,0,0.0,0.0
125,5,6,8,2,3.0357641559387316,1,3.0672945033041716,6.0
126,2,12,2,2,3.7787457951302073,1,30.946556744167843,12.0
127,1,13,0,0,2.8327665769943433,2,19.745129283537267,13.0
128,1,13,0,0,6.404985223075221,2,6.041706163824904,13.0
129,1,12,0,0,1.6122685987380894,2,26.685673047536206,12.0
130,1,12,0,0,2.128878450324723,2,13.452198993844831,12.0
131,1,2,0,0,1.0,0,0.9625306488626825,1.0
132,5,4,8,2,7.106586067613962,2,6.005852657774753,4.0
133,1,11,0,0,3.726975742598469,2,22.629080057527748,11.0
134,1,11,0,0,2.913529913394416,0,13.238927978125725,10.0
135,1,9,0,0,7.39511735910924,0,4.554859181138314,8.0
136,1,10,0,0,4.415062670443577,0,9.908152761236583,9.0
137,1,1,0,0,NaN,0,0.0,0.0
138,2,5,2,2,1.023651884438041,1,11.292556303175997,5.0
139,1,7,0,0,1.1915692572987044,1,22.018834438498327,7.0
140,1,7,0,0,1.0593509128049665,1,16.25876541784462,7.0
141,1,7,0,0,1.0438057127985547,1,14.635946111628726,7.0
142,1,7,0,0,1.2558248877753704,1,17.712771138926854,7.0
143,2,3,2,2,1.0619703281602435,1,5.602198387740299,3.0
144,4,3,6,2,1.1750514455684338,3,1.5989214749011285,3.0
145,1,7,0,0,2.9404360599286767,3,26.2644554737558,7.0
146,2,4,2,2,1.2251008797996867,2,26.858713551657694,4.0
147,3,2,4,2,1.0,2,3.1822057915854596,2.0
148,1,7,0,0,2.223274567124392,2,13.386683887356115,7.0
149,1,7,0,0,2.45001451943854,2,14.595397332378448,7.0
150,1,5,0,0,1.0318294317975145,2,9.164098502307791,5.0
151,1,5,0,0,1.2192119421919736,2,12.399027368709215,5.0
152,1,2,0,0,1.0,1,14.046274553774039,2.0
153,1,4,0,0,1.3600607030817715,1,20.322808478652746,4.0
154,2,2,2,2,1.0,1,5.672172104308902,2.0
155,1,5,0,0,1.079300472750265,1,13.340255402686264,5.0
156,1,5,0,0,2.030176395724017,2,9.37808652871149,5.0
157,1,4,0,0,1.8869643232809576,2,17.375350622361555,4.0
158,1,5,0,0,1.2564310475126317,1,20.821330390011113,5.0
159,2,3,2,2,1.059307676315521,1,6.390567671967801,3.0
160,2,4,2,2,1.1904325595051626,3,4.283058053540722,4.0
161,1,1,0,0,NaN,3,22.003236120852765,1.0
162,2,2,2,2,1.0,0,5.9754920508691365,1.0
163,1,4,0,0,1.0959347758557514,1,12.0386644147098,4.0
164,1,4,0,0,1.3553381423259634,1,10.142705166650565,4.0
165,1,4,0,0,1.0507802285463652,1,9.267063193914245,4.0
166,1,4,0,0,1.101615935448128,1,19.271329025523908,4.0
167,1,1,0,0,NaN,4,31.981579636592823,1.0
168,3,1,4,2,NaN,4,2.125287627593021,1.0
169,2,3,2,2,1.2628808746024356,2,5.437418671575706,3.0
170,1,1,0,0,NaN,2,22.452874355191142,1.0
171,1,4,0,0,1.0173695799227598,2,15.727362098699198,4.0
172,1,4,0,0,1.217751741721075,2,10.000665690022837,4.0
173,1,4,0,0,1.1806555502610474,1,6.162869209223906,4.0
174,1,1,0,0,NaN,1,7.522453900822515,1.0
175,1,3,0,0,1.0115061993546406,0,26.70564951672211,2.0
176,1,3,0,0,1.0016973918052017,1,10.835075099878173,3.0
177,1,3,0,0,1.1138206118801284,1,9.489723716531476,3.0
178,1,3,0,0,1.1415912157131378,1,5.828420654860118,3.0
179,1,1,0,0,NaN,1,17.77970247213378,1.0
180,1,3,0,0,1.109890821203565,2,8.09765484631198,3.0
181,1,3,0,0,1.0143278192450884,2,11.11513106803514,3.0
182,1,3,0,0,1.122552658040017,3,7.145986711434606,3.0
183,1,1,0,0,NaN,3,15.124077662786584,1.0
184,1,3,0,0,1.012425430197042,5,20.29721586548261,3.0
185,2,2,2,2,1.0,5,3.56108094544339,2.0
186,1,2,0,0,1.0,2,5.02916458271153,2.0
187,1,2,0,0,1.0,2,18.13760536025238,2.0
188,1,2,0,0,1.0,1,11.92862458705529,2.0
189,1,2,0,0,1.0,1,6.91677045231371,2.0
190,1,2,0,0,1.0,1,4.571086161953198,2.0
191,1,2,0,0,1.0,1,12.621810865026468,2.0
192,1,2,0,0,1.0,2,5.591212339019147,2.0
193,1,2,0,0,1.0,2,30.68306324867842,2.0
194,1,1,0,0,NaN,1,11.679623309011296,1.0
195,1,1,0,0,NaN,1,2.091944829578448,1.0
196,1,1,0,0,NaN,1,20.23716490741724,1.0
197,1,1,0,0,NaN,1,10.032987625827102,1.0
198,1,1,0,0,NaN,3,1.8903836885669452,1.0
199,1,1,0,0,NaN,3,24.222600341210274,1.0
200,1,1,0,0,NaN,2,8.142490918017664,1.0
201,1,1,0,0,NaN,2,7.930149796189223,1.0
202,1,1,0,0,NaN,2,11.483674566531393,1.0
203,1,1,0,0,NaN,2,7.486569398596387,1.0
204,1,1,0,0,NaN,4,1.7714974738903793,1.0
205,1,1,0,0,NaN,4,28.36452604381044,1.0
206,1,1,0,0,NaN,6,5.1845420521006504,1.0
207,1,1,0,0,NaN,6,13.53576517931661,1.0
208,1,1,0,0,NaN,2,16.143107664573137,1.0
209,1,1,0,0,NaN,2,5.312502336940673,1.0
210,1,1,0,0,NaN,0,0.0,0.0
211,1,1,0,0,NaN,0,0.0,0.0
212,1,1,0,0,NaN,0,0.0,0.0
