Label,ID,Branch spot ID,Spot N links outgoing,Spot N links total,Spot N links incoming,Spot center intensity,Spot ellipsoid aspect ratios short/middle,Spot ellipsoid aspect ratios short/long,Spot ellipsoid aspect ratios middle/long,Spot ellipsoid properties short semi-axis,Spot ellipsoid properties middle semi-axis,Spot ellipsoid properties long semi-axes,Spot ellipsoid volume,frame,Spot intensity mean,Spot intensity std,Spot intensity min,Spot intensity max,Spot intensity median,Spot intensity sum,Spot position X,Spot position Y,Spot position Z,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,N outgoing links,Spot N links,N incoming links,Center ch1,Aspect ratio between short and middle semi-axes,Aspect ratio between short and long semi-axes,Aspect ratio between middle and long semi-axes,Short semi-axis,Middle semi-axis,Long semi-axis,Volume, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,X,Y,Z,Mean ch1, , ,
,,,,,,(Counts),,,,(pixel),(pixel),(pixel),,,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(pixel),(pixel),(pixel),(Counts),(pixel),,
79,79,79,1,1,0,700.2095555,0.852867643,0.826073324,0.968583262,11.68247502,13.69787576,14.14217683,9479.66427,0,662.4131393,84.4282044,406,950,664,1502353,118.136,10.96,130.9635,662.4131393,13.12909475,79,65
80,80,80,1,1,0,685.5132341,0.508175636,0.462293548,0.909712146,6.537812081,12.86526079,14.14212269,4982.579505,0,641.0639488,77.07352793,408,935,643,801971,118.308,31.0734,130.4255,641.0639488,10.59551025,80,13
81,81,81,1,1,0,566.8892031,0.785949465,0.692970105,0.881698043,5.56612443,7.082038572,8.03227208,1326.289156,0,545.0708661,61.51673043,373,739,536,207672,143.445,30.8218,136.4995,545.0708661,6.815795266,81,30
82,82,82,1,1,0,692.3117749,0.781924269,0.471099827,0.602487793,6.662358126,8.520464698,14.14213665,3362.752419,0,654.7519553,61.54493942,449,845,654,586003,29.7132,37.1526,112.5495,654.7519553,9.293987731,82,31
83,83,83,1,1,0,671.1770563,0.670356918,0.67035682,0.999999854,9.480290462,14.14215353,14.1421556,7942.210844,0,643.262069,67.0883596,420,877,640,1305822,38.9131,18.8284,112.2035,643.262069,12.37706298,83,32
84,84,84,1,1,0,630.3372515,0.683999023,0.41956505,0.613400072,4.483084316,6.5542262,10.68507569,1315.117464,0,595.9514066,49.47965334,473,741,598,233017,37.2272,88.5238,103.783,595.9514066,6.796604184,84,32
85,85,85,1,1,0,661.3336344,0.823694751,0.447648259,0.543463774,4.398698075,5.340204084,9.826237433,966.8472602,0,609.2755102,78.76886921,390,822,618,179127,99.5796,95.855,116.2855,609.2755102,6.134178656,85,19
86,86,86,1,1,0,748.4161421,0.429881196,0.402660229,0.93667793,5.694477728,13.24663135,14.14214098,4468.513975,0,696.267285,80.49431812,484,955,697,825773,85.1733,42.9214,119.8475,696.267285,10.21781818,86,38
87,87,87,1,1,0,749.2797998,0.662384245,0.564996108,0.85297335,6.056596126,9.14362951,10.71971301,2486.674854,0,710.47,64.34612647,520,962,704,497329,105.251,43.6252,129.236,710.47,8.404466126,87,51
88,88,88,1,1,0,696.5674015,0.656768026,0.565760707,0.861431562,7.605562927,11.58028806,13.44307379,4959.50027,0,665.4079341,56.46210274,482,831,667,888985,12.1835,52.849,122.7265,665.4079341,10.57912551,88,31
89,89,89,1,1,0,669.8545511,0.715725117,0.480715591,0.671648345,6.798347324,9.49854513,14.14214029,3825.288455,0,642.0436508,54.68419834,446,819,638,647180,13.9591,37.0331,117.9165,642.0436508,9.701938712,89,47
90,90,90,1,1,0,918.4416452,0.753552985,0.674752246,0.895427739,9.542435798,12.66325791,14.1421327,7158.27232,0,864.3594104,104.4913893,599,1234,854,1524730,81.7255,65.3678,132.2285,864.3594104,11.95565026,90,55
91,91,91,1,1,0,715.6941956,0.57947101,0.508050158,0.876748188,6.164324388,10.63784776,12.13329883,3332.78086,0,685.3207965,70.86134332,427,901,684,619530,83.8741,28.8984,118.478,685.3207965,9.266293454,91,31
92,92,92,1,1,0,703.5118237,0.552613244,0.530059377,0.959186886,7.496177387,13.56496151,14.14214655,6023.686531,0,672.8341935,56.5127795,497,858,675,1042893,62.3104,31.9539,113.5735,672.8341935,11.28733075,92,32
93,93,93,1,1,0,694.4584065,0.913018051,0.617869109,0.676732633,7.462966575,8.173952935,12.0785559,3086.364765,0,666.004745,55.91784333,482,855,664,561442,12.0384,67.442,120.894,666.004745,9.032047529,93,43
94,94,0,1,2,1,1299.548403,0.873416304,0.333333794,0.381643658,4.567160595,5.229076412,13.70146287,1370.650783,1,1150.430025,237.7919598,633,1990,1102,452119,61.462,76.9353,56.36,1150.430025,6.890954829,0,31
95,95,1,1,2,1,1370.545608,0.687847426,0.460743722,0.669834187,4.242851294,6.168302927,9.208701264,1009.509705,1,1107.680702,282.6152261,498,1994,1049,315689,113.048,3.09226,67.7205,1107.680702,6.223107402,1,31
96,96,2,1,2,1,1184.526663,0.719948734,0.365457692,0.507616272,4.440301939,6.16752517,12.14997531,1393.758209,1,1059.037037,189.0669799,460,1458,1096,428910,35.5861,20.4993,58.3115,1059.037037,6.929463471,2,31
97,97,3,1,2,1,1238.853576,0.783979843,0.356221618,0.45437599,4.453663451,5.680839232,12.50250751,1324.999237,1,1068.052109,262.7194837,418,2172,1045,430425,79.4965,36.0335,57.349,1068.052109,6.813584918,3,31
98,98,4,1,2,1,1179.413346,0.727218762,0.378800212,0.520888943,4.242854089,5.834357298,11.2007701,1161.415482,1,1044.31085,339.1049076,448,2203,1025,356110,143.679,96.2047,78.2125,1044.31085,6.520781789,4,25
99,99,5,1,2,1,1183.04453,0.855192823,0.355955894,0.416228813,4.242849127,4.96127775,11.91959229,1050.996185,1,1015.715867,287.3879371,373,1776,989,275259,114.943,98.061,66.379,1015.715867,6.30721318,5,26
